date,id,episode,episodes_on_id,kind,severity,basis,severity_end,basis_end,first_tick,last_tick,n_ticks,lifetime_min,impact_leg,impact_leg_first,n_legs,self_scored,has_plans,late_min,quality,scorable,late_15,impact_trip,mut_kind,mut_severity,mut_basis,mut_impact_leg,mut_n_legs,mut_impact_at
2026-08-14,late_cascade:31490,1,1,late_cascade,critical,clock_only,watch,clock_only,18:18,19:06,17,48,31490,31490,1,1,0,51.6,ok,1,1,return,0,1,0,0,0,0
2026-08-14,unassigned:32492,1,1,unassigned,watch,clock_only,critical,clock_only,18:27,18:33,3,6,32492,32492,1,1,1,213.5,ok,1,1,arrival,0,1,0,0,0,1
2026-08-14,unassigned:28606,1,1,unassigned,critical,clock_only,critical,clock_only,18:39,18:42,2,3,28606,28606,1,1,1,135.3,ok,1,1,arrival,0,0,0,0,0,0
2026-08-14,late_cascade:30347,1,1,late_cascade,watch,clock_only,watch,clock_only,19:03,19:09,3,6,30347,30347,1,1,0,90.1,ok,1,1,arrival,0,0,0,0,0,0
2026-08-14,overlap:31490:30666,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,19:09,19:30,8,21,30666,30666,2,0,1,21.0,ok,1,1,arrival,0,0,0,0,0,0
2026-08-14,overrun:31490,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,19:12,19:33,8,21,31490,31490,1,1,1,51.6,ok,1,1,return,0,0,0,0,0,0
2026-08-14,late_cascade:34733,1,1,late_cascade,watch,clock_only,watch,clock_only,21:03,22:21,27,78,34733,34733,1,1,0,-31.5,ok,1,0,arrival,0,0,0,0,0,0
2026-08-14,overrun:24105,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,21:18,21:33,6,15,24105,24105,1,1,1,121.4,ok,1,1,cruise,0,0,0,0,0,0
2026-08-15,flight_change:23984,1,2,flight_change,critical,flight,critical,flight,06:00,11:54,119,354,33301,29900,2,0,0,-5.6,ok,1,0,arrival,0,0,0,1,0,1
2026-08-15,flight_change:27538,1,1,flight_change,warning,flight,warning,flight,06:00,08:39,54,159,27538,27538,1,1,0,9.6,ok,1,0,return,0,0,0,0,0,0
2026-08-15,flight_change:28075,1,1,flight_change,critical,flight,critical,flight,06:00,10:57,100,297,33383,33383,2,0,1,7.3,ok,1,0,cruise,0,0,0,0,0,0
2026-08-15,flight_change:29413,1,1,flight_change,critical,flight,critical,flight,06:00,11:48,117,348,33303,33303,2,0,1,-10.8,ok,1,0,return,0,0,0,0,0,0
2026-08-15,flight_change:29730,1,2,flight_change,critical,flight,critical,flight,06:00,11:54,119,354,32198,24966,2,0,0,-5.5,ok,1,0,arrival,0,0,0,1,0,1
2026-08-15,flight_change:31349,1,1,flight_change,critical,flight,critical,flight,06:00,12:00,121,360,30510,30510,2,0,1,-7.8,ok,1,0,return,0,0,0,0,0,0
2026-08-15,flight_change:32325,1,1,flight_change,warning,flight,warning,flight,06:00,09:45,76,225,32325,32325,1,1,0,-1.3,ok,1,0,arrival,0,1,0,1,1,1
2026-08-15,flight_change:32978,1,1,flight_change,critical,flight,critical,flight,06:00,12:48,137,408,29035,29035,2,0,1,-7.6,ok,1,0,other,0,0,0,0,0,0
2026-08-15,flight_change:33246,1,1,flight_change,critical,flight,critical,flight,06:00,17:27,230,687,30574,30574,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,flight_change:34825,1,1,flight_change,critical,flight,critical,flight,06:00,11:21,108,321,24273,24273,2,0,0,-23.5,ok,1,0,return,0,0,0,0,0,0
2026-08-15,flight_change:8519,1,1,flight_change,critical,flight,critical,flight,06:00,15:45,196,585,33078,29709,2,0,1,,none,0,,arrival,0,0,0,1,0,3
2026-08-15,overlap:22732:26233,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,07:27,30,87,26233,26233,2,0,1,-3.6,ok,1,0,return,0,0,1,0,0,0
2026-08-15,overlap:27695:19008,1,1,overlap,critical,clock_only,critical,clock_only,06:00,07:57,40,117,19008,19008,2,0,1,4.5,ok,1,0,return,0,0,0,0,0,0
2026-08-15,overlap:29431:31013,1,1,overlap,critical,clock_only,critical,clock_only,06:00,08:57,60,177,31013,31013,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,overlap:32469:27538,1,1,overlap,critical,clock_only,critical,recorded_pickup,06:00,08:27,50,147,27538,27538,2,0,0,9.6,ok,1,0,return,0,0,1,0,0,0
2026-08-15,overlap:32911:22634,1,1,overlap,critical,clock_only,critical,clock_only,06:00,06:24,9,24,22634,22634,2,0,1,73.1,ok,1,1,arrival,0,0,0,0,0,0
2026-08-15,flight_change:33912,1,1,flight_change,critical,flight,critical,flight,06:06,11:57,118,351,26425,26425,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,late_cascade:28444,1,1,late_cascade,critical,clock_only,critical,clock_only,06:18,06:36,7,18,28444,28444,1,1,0,,none,0,,return,0,0,0,0,0,0
2026-08-15,flight_change:22634,1,1,flight_change,critical,flight,critical,flight,06:27,06:42,6,15,33778,32911,2,0,1,30.3,ok,1,1,other,0,0,0,1,0,0
2026-08-15,late_cascade:22732,1,1,late_cascade,critical,clock_only,critical,clock_only,06:33,06:33,1,0,26233,26233,2,0,1,-3.6,ok,1,0,return,0,0,0,0,0,0
2026-08-15,late_cascade:28545,1,1,late_cascade,critical,clock_only,critical,clock_only,06:48,07:18,11,30,28545,28545,1,1,0,35.8,ok,1,1,return,0,0,0,0,0,0
2026-08-15,late_cascade:31868,1,1,late_cascade,critical,clock_only,critical,clock_only,07:03,07:24,8,21,30166,31868,3,0,1,127.0,ok,1,1,cruise,0,0,0,2,2,1
2026-08-15,flight_change:33241,1,1,flight_change,critical,flight,critical,flight,07:15,11:21,83,246,20539,20539,2,0,1,-24.7,ok,1,0,return,0,0,0,0,0,0
2026-08-15,overlap:31868:33701,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,07:27,07:57,11,30,33701,33701,2,0,1,75.0,ok,1,1,return,0,0,0,0,0,0
2026-08-15,late_cascade:32469,1,1,late_cascade,critical,clock_only,critical,clock_only,07:33,07:33,1,0,27538,27538,2,0,0,9.6,ok,1,0,return,0,0,0,0,0,0
2026-08-15,late_cascade:26233,1,1,late_cascade,critical,clock_only,critical,clock_only,07:36,08:00,9,24,30728,31506,3,0,1,-22.1,ok,1,0,arrival,0,0,0,1,1,0
2026-08-15,late_cascade:29431,1,1,late_cascade,critical,clock_only,critical,clock_only,08:03,08:21,7,18,31013,31013,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,late_cascade:33701,1,1,late_cascade,critical,clock_only,watch,clock_only,08:03,09:15,25,72,33701,33701,1,1,0,75.0,ok,1,1,return,0,1,0,1,1,1
2026-08-15,overlap:26233:31506,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,08:03,08:45,15,42,31506,31506,2,0,1,-19.3,ok,1,0,cruise,0,0,0,0,0,0
2026-08-15,flight_change:29716,1,1,flight_change,critical,flight,critical,flight,08:09,11:48,74,219,34835,21610,2,0,1,-6.5,ok,1,0,other,0,0,0,1,0,4
2026-08-15,late_cascade:27538,1,1,late_cascade,critical,clock_only,critical,clock_only,08:33,08:39,3,6,27538,27538,1,1,0,9.6,ok,1,0,return,0,0,0,0,0,0
2026-08-15,late_cascade:33778,1,1,late_cascade,critical,clock_only,critical,clock_only,08:33,09:00,10,27,33778,33778,1,1,0,30.3,ok,1,1,other,0,0,0,0,0,0
2026-08-15,late_cascade:31013,1,1,late_cascade,critical,clock_only,watch,clock_only,09:03,09:51,17,48,31013,31013,1,1,1,,none,0,,return,0,1,0,1,1,1
2026-08-15,overlap:33701:30166,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,09:18,09:27,4,9,30166,30166,2,0,0,127.0,ok,1,1,cruise,0,0,0,0,0,0
2026-08-15,flight_change:27069,1,1,flight_change,critical,flight,critical,flight,09:33,09:33,1,0,28638,28638,2,0,1,1.7,ok,1,0,other,0,0,0,0,0,0
2026-08-15,late_cascade:27069,1,1,late_cascade,critical,clock_only,critical,clock_only,09:33,09:36,2,3,27069,21610,1,1,1,,none,0,,return,0,0,0,1,1,1
2026-08-15,late_cascade:30166,1,1,late_cascade,critical,clock_only,watch,clock_only,09:33,11:36,42,123,30166,30166,1,1,0,127.0,ok,1,1,cruise,0,1,0,0,0,0
2026-08-15,unassigned:27069,1,2,unassigned,critical,clock_only,critical,clock_only,09:39,09:39,1,0,27069,27069,1,1,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,unassigned:31413,1,1,unassigned,critical,clock_only,critical,clock_only,09:42,09:42,1,0,31413,31413,1,1,1,178.7,ok,1,1,cruise,0,0,0,0,0,0
