date,tick,estimates,ms,cards,error
2026-07-27,15:30,live,26,0,
2026-07-27,15:15,live,26,0,
2026-07-27,15:00,live,26,0,
2026-07-27,14:45,live,26,0,
2026-07-27,14:30,live,49,0,
2026-07-27,14:15,live,26,0,
2026-07-27,14:00,live,26,0,
2026-07-27,13:45,live,32,1,
2026-07-27,13:30,live,26,0,
2026-07-27,13:15,live,31,1,
2026-07-27,13:00,live,30,1,
2026-07-27,12:45,live,53,1,
2026-07-27,12:30,live,27,0,
2026-07-27,12:15,live,36,3,
2026-07-27,12:00,live,31,3,
2026-07-27,11:45,live,31,3,
2026-07-27,11:30,live,60,5,
2026-07-27,11:15,live,37,6,
2026-07-27,11:00,live,55,4,
2026-07-27,10:45,live,38,5,
2026-07-27,10:30,live,38,6,
2026-07-27,10:15,live,64,6,
2026-07-27,10:00,live,67,8,
2026-07-27,09:45,live,91,5,
2026-07-27,09:30,live,96,6,
2026-07-27,09:15,live,119,5,
2026-07-27,09:00,live,60,3,
2026-07-27,08:45,live,63,4,
2026-07-27,08:30,live,62,3,
2026-07-27,08:15,live,66,3,
2026-07-27,08:00,live,67,4,
2026-07-27,07:45,live,232,5,
2026-07-27,07:30,live,245,7,
2026-07-27,07:15,live,219,6,
2026-07-27,07:00,live,194,5,
2026-07-27,06:45,live,133,4,
2026-07-27,06:30,live,130,4,
2026-07-27,06:15,live,130,5,
2026-07-27,06:00,live,130,5,
2026-07-27,23:00,masked,49,0,
2026-07-27,22:45,masked,26,1,
2026-07-27,22:30,masked,26,0,
2026-07-27,22:15,masked,25,0,
2026-07-27,22:00,masked,28,1,
2026-07-27,21:45,masked,28,1,
2026-07-27,21:30,masked,50,1,
2026-07-27,21:15,masked,26,1,
2026-07-27,21:00,masked,26,1,
2026-07-27,20:45,masked,26,1,
2026-07-27,20:30,masked,26,1,
2026-07-27,20:15,masked,26,1,
2026-07-27,20:00,masked,26,1,
2026-07-27,19:45,masked,49,1,
2026-07-27,19:30,masked,26,0,
2026-07-27,19:15,masked,26,0,
2026-07-27,19:00,masked,26,0,
2026-07-27,18:45,masked,26,1,
2026-07-27,18:30,masked,26,1,
2026-07-27,18:15,masked,48,1,
2026-07-27,18:00,masked,26,2,
2026-07-27,17:45,masked,26,1,
2026-07-27,17:30,masked,26,1,
2026-07-27,17:15,masked,26,1,
2026-07-27,17:00,masked,26,1,
2026-07-27,16:45,masked,27,1,
2026-07-27,16:30,masked,49,0,
2026-07-27,16:15,masked,26,0,
2026-07-27,16:00,masked,26,0,
2026-07-27,15:45,masked,26,0,
2026-07-27,15:30,masked,26,0,
2026-07-27,15:15,masked,26,0,
2026-07-27,15:00,masked,49,0,
2026-07-27,14:45,masked,26,0,
2026-07-27,14:30,masked,26,0,
2026-07-27,14:15,masked,26,0,
2026-07-27,14:00,masked,26,0,
2026-07-27,13:45,masked,29,1,
2026-07-27,13:30,masked,26,0,
2026-07-27,13:15,masked,52,1,
2026-07-27,13:00,masked,29,1,
2026-07-27,12:45,masked,31,1,
2026-07-27,12:30,masked,26,0,
2026-07-27,12:15,masked,31,3,
2026-07-27,12:00,masked,31,3,
2026-07-27,11:45,masked,31,3,
2026-07-27,11:30,masked,78,5,
2026-07-27,11:15,masked,37,6,
2026-07-27,11:00,masked,33,4,
2026-07-27,10:45,masked,38,5,
2026-07-27,10:30,masked,38,6,
2026-07-27,10:15,masked,57,6,
2026-07-27,10:00,masked,66,8,
2026-07-27,09:45,masked,113,5,
2026-07-27,09:30,masked,97,6,
2026-07-27,09:15,masked,101,4,
2026-07-27,09:00,masked,72,4,
2026-07-27,08:45,masked,62,3,
2026-07-27,08:30,masked,62,3,
2026-07-27,08:15,masked,87,3,
2026-07-27,08:00,masked,66,4,
2026-07-27,07:45,masked,219,5,
2026-07-27,07:30,masked,219,7,
2026-07-27,07:15,masked,220,7,
2026-07-27,07:00,masked,195,5,
2026-07-27,06:45,masked,131,4,
2026-07-27,06:30,masked,153,4,
