trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
arrival,MCO Terminal,Universal Resort,night,weekend,4,,,2026-07-31 20:25:28
other,Universal Resort,Disney Resort,morning_rush,weekend,4,42,,2026-07-31 20:25:24
other,Disney Resort,MCO Terminal,evening,weekday,4,,,2026-05-23 18:33:33
cruise,Other,Port Canaveral Area,midday,weekday,4,,,2026-05-23 18:33:34
arrival,MCO Terminal,Other Hotel,night,weekend,4,,,2026-05-23 18:33:34
other,Disney Resort,Residential,midday,weekday,4,48,,2026-07-31 20:25:27
other,Residential,Disney Resort,afternoon,weekday,4,81,,2026-07-31 20:25:27
cruise,Port Canaveral Area,SFB Terminal,morning_rush,weekend,4,70,,2026-07-31 20:25:26
cruise,Universal Resort,Port Canaveral Area,morning_rush,weekday,3,,,2026-07-31 20:25:24
cruise,Port Canaveral Area,Disney Resort,morning_rush,holiday,3,,,2026-02-10 22:31:26
arrival,MCO Terminal,Other Hotel,morning_rush,weekday,3,,,2026-07-31 20:25:27
other,Other Hotel,Disney Resort,morning_rush,weekday,3,,,2026-07-31 20:25:27
other,Other,Disney Resort,afternoon,weekend,3,,,2026-05-23 18:33:33
arrival,MCO Terminal,Residential,evening,weekend,3,,,2026-07-31 20:25:27
other,Disney Resort,Disney Resort,midday,weekday,3,,,2026-07-31 20:25:25
arrival,SFB Terminal,Disney Resort,night,weekend,3,,,2026-07-31 20:25:28
arrival,MCO Terminal,Port Canaveral Area,afternoon,weekday,3,,,2026-07-31 20:25:25
arrival,MCO Terminal,Residential,morning_rush,weekend,3,,,2026-02-16 00:34:21
arrival,MCO Terminal,Residential,night,weekday,3,,,2026-07-31 20:25:28
other,Disney Resort,SFB Terminal,early_morning,weekend,3,,,2026-05-23 18:33:33
arrival,MCO Terminal,Other,midday,weekday,3,,,2026-07-31 20:25:27
arrival,MCO Terminal,Other,evening,weekday,3,,,2026-07-31 20:25:26
other,Other Hotel,Disney Resort,midday,weekday,3,,,2026-07-31 20:25:28
arrival,SFB Terminal,Universal Resort,midday,weekday,3,,,2026-07-31 20:25:27
other,Universal Resort,Universal Resort,evening,weekday,3,,,2026-07-31 20:25:27
return,Other,MCO Terminal,early_morning,weekday,3,,,2026-05-23 18:33:39
other,Residential,Disney Resort,midday,weekend,2,,,2026-07-31 20:25:26
cruise,Universal Resort,Port Canaveral Area,midday,weekend,2,,,2026-07-31 20:25:26
arrival,MCO Terminal,Other Hotel,midday,weekend,2,,,2026-07-31 20:25:28
return,Other Hotel,MCO Terminal,morning_rush,weekday,2,,,2026-07-31 20:25:26
arrival,MCO Terminal,Other Hotel,afternoon,weekend,2,,,2026-07-31 20:25:26
